user_id,followers,following,tweet_count,listed_count,verified
491212403,513,611,35815,5,False
1078325519349940224,715,1143,23545,5,False
11170072,3053,4527,159174,158,False
963574904389099520,121,1030,7816,0,False
289784361,1579,5005,502466,95,False
40572745,2339,2947,81507,33,False
837556704313167872,83,665,5074,0,False
14411579,2419,4441,29692,15,False
1246503087398936576,404,668,36815,0,False
164137323,3087,4991,112623,2,False
877185623697879040,4711,2848,67808,26,False
1356552634593853442,354,1250,4162,2,False
22962054,1131,706,92431,44,False
1211275773593542657,834,977,531,4,False
36514568,233,477,9095,0,False
27899810,104,346,12878,2,False
834550651,42,129,1892,0,False
31342253,2035,1998,98891,71,False
2866321283,105,561,2482,0,False
2787079236,558,1571,21716,5,False
795963598212317184,26,230,926,0,False
951225554,4286,4878,228607,195,False
39130254,568,1837,39137,2,False
1262365651907330050,451,2159,73882,4,False
90806433,229,521,15512,8,False
812068893950738432,44,98,921,0,False
1368972530199977988,117,38,1411,1,False
51942820,406,234,46708,5,False
3075676490,360,223,1296,0,False
54415892,690,4035,82554,21,False
878439975187918848,7503,994,10707,13,False
27700778,164,484,12411,1,False
2732086488,1293,548,31505,6,False
984605262999732225,3572,4978,107886,19,False
1100808382137753601,2615,4995,15286,12,False
127656142,121,580,41586,2,False
1576408309,1123,2471,15326,5,False
520479009,199,794,46520,20,False
140123620,63,124,9624,0,False
2777782724,164,123,3791,0,False
718601560134004736,138,1907,60726,0,False
22795984,7120,7795,60145,293,False
1345085107086843904,805,773,37063,0,False
3239146677,11,106,1365,1,False
1451550299882143756,12,66,339,0,False
28699628,4243,4060,83418,48,False
3306741958,601,1952,46960,32,False
1081359455906742273,300,823,31907,1,False
118218430,157,892,21449,1,False
2964797602,1854,1795,63557,16,False
377640000,1680,923,4619,22,False
256187631,1558,1150,3476,15,False
7868832,111709,2441,16365,909,True
4550610258,100,570,8796,0,False
1074057656313282561,4073,4700,30602,0,False
1255149419562799104,1108,308,679,16,False
126759094,202,1267,7814,0,False
470505158,1931,820,5354,48,False
1376777024346464257,276,262,7905,1,False
251388178,362,365,90023,0,False
1302062138744360961,6,43,3486,0,False
821064032937537536,190,39,20221,5,False
2347775903,7,209,83,0,False
228562745,292,413,371729,83,False
884191378862874624,59,290,9393,0,False
162216577,23546,5769,27154,92,False
1122540879162617856,9847,9042,68996,23,False
298508497,2902,4840,49979,190,False
1449597626,601,1628,19080,6,False
770212308656283648,23,174,17279,1,False
286442818,200,377,1442,2,False
439867710,274,537,5886,11,False
89045706,171,327,74639,17,False
151708647,1025,950,75473,11,False
214886970,16234,17383,185261,231,False
1337783599446286338,175,482,13521,1,False
195610523,2433,4988,550312,229,False
986253583367712768,168,146,85811,1,False
4653654021,829,1935,234128,36,False
825421922615824385,3852,4849,85959,3,False
1027554657961484291,112,232,2120,0,False
53570548,1834,2143,20786,9,False
1214738012673736705,600,1820,480562,3,False
512814240,2430,2845,41622,35,False
17146652,814,2828,28460,25,False
22922231,908,878,227196,4,False
548136521,235,393,75217,16,False
41717505,85,867,2374,9,False
114579791,265,325,8841,0,False
73237448,608,791,149862,25,False
146121031,166,518,7283,0,False
273763669,1655,61,507,17,False
787116920004747264,306,238,150024,0,False
1303924034116235264,45,50,10205,0,False
1445091366229487618,0,3,178,0,False
2564550330,343,89,34916,2,False
105018214,3604,533,163372,79,False
1178363064326000647,3250,2795,168876,12,False
933770840,242,1289,7404,1,False
186698862,110,364,4744,2,False
596038868,299,186,70333,5,False
996781385988820993,168,919,7610,0,False
228136971,1690,2371,3570,14,False
46218532,112,689,28912,2,False
1456397200037007362,5,22,48,0,False
20346444,1289,219,12471,197,False
1031370765986291712,101,131,6181,1,False
715379749011456000,206,480,62332,5,False
798932072966582272,478,667,1891,2,False
3386917145,33,187,2279,0,False
1339428634042503169,810,2638,20997,8,False
442226998,90,145,53670,8,False
899696919102074880,641,368,14852,2,False
1270673098493300742,638,1821,144026,2,False
1438171044611858440,30,452,13118,0,False
304553738,431,371,1488,6,False
3063629509,2001,682,97129,156,False
1947853646,298,118,30538,1,False
1073285853785546752,1371,0,147598,13,False
16328306,1780,561,6468,35,False
1320730787419832320,436,674,85870,12,False
30278532,6648025,729,150905,14686,True
2357376844,3484,2000,24483,42,False
761375614704111616,909,1859,20537,7,False
404163484,314,602,83967,19,False
2661682980,783,1901,578540,251,False
1185243915437273088,61,510,5488,0,False
188748627,4486,4400,178633,178,False
22277115,103,883,7498,11,False
3065773581,177,505,8839,1,False
26514883,2459,5001,464988,501,False
916374218576617472,385,2244,16719,4,False
899003088761180162,97,342,3496,2,False
2760922629,296,307,60477,6,False
193887510,3779,3305,92643,133,False
1014579262639169536,341,476,4468,1,False
46956207,1666,2266,85329,108,False
17903397,2420,4968,77196,96,False
753993711382650881,400,509,2479,3,False
351831682,72,563,6651,1,False
808027339,1184,1607,39036,5,False
792646884,1821,3016,73485,60,False
1682282318,182,177,68563,16,False
969075436083793920,62,196,50475,0,False
2767936086,137,533,43089,0,False
3148912838,354,1035,11398,22,False
34045308,614,519,21499,25,False
21065368,51,977,51,1,False
18477586,40,262,4809,4,False
803029068,27546,1764,21204,586,True
2921048664,639,3411,147622,3,False
976543250,195,389,4648,7,False
17656966,1022,1506,35721,13,False
46878269,409,859,116774,34,False
2302752108,2761,1617,10245,23,False
98737961,2432,2265,75465,182,False
99349801,7948,7293,495206,3,False
857416689490829312,2745,3319,83412,3,False
985657563382534144,4604,4099,37713,37,False
477451056,1501,547,156432,105,False
894353935103905794,421,3728,142337,1,False
248991281,346,306,71601,0,False
779520404188700672,985,821,34596,12,False
777156552,3316,3347,90890,16,False
765842145211215873,1106,3792,80671,3,False
806913479231803393,1599,555,111154,2,False
384123902,246,404,15298,1,False
51819857,481,678,28909,12,False
15631338,57804,352,138237,624,True
788770265685757952,516,561,8391,2,False
27202261,2701,5000,180711,29,False
236054545,2697,4843,350946,198,False
52407899,181,487,6526,2,False
199395429,13,349,8030,1,False
133914833,3234,2311,302061,10,False
